"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","117.0","1539.0","9.0","13.6","85.0","1.4","1.0","281.3"
"Ja'Marr Chase","CIN","121.2","1511.2","10.6","3.0","17.0","0.0","1.0","275.4"
"Jaxon Smith-Njigba","SEA","110.9","1570.0","9.5","5.5","30.4","0.1","1.1","270.8"
"Amon-Ra St. Brown","DET","117.4","1390.9","10.5","3.1","11.8","0.0","0.4","261.2"
"Drake London","ATL","98.4","1272.9","8.8","0.0","0.0","0.0","1.0","227.1"
"CeeDee Lamb","DAL","97.5","1295.6","7.5","2.4","12.6","0.0","0.3","224.3"
"Justin Jefferson","MIN","98.9","1310.9","7.1","1.3","5.5","0.0","0.3","223.4"
"Rashee Rice","KC","96.9","1071.4","9.6","5.4","25.6","0.9","0.6","219.8"
"Chris Olave","NO","95.8","1195.5","7.9","0.3","0.0","0.0","0.3","214.1"
"A.J. Brown","NE","87.6","1232.0","7.7","0.0","0.0","0.0","0.3","212.4"
"George Pickens","DAL","82.5","1200.6","8.4","0.3","0.0","0.0","0.4","210.8"
"Nico Collins","HOU","82.5","1207.2","7.2","1.4","8.3","0.4","0.8","206.7"
"Zay Flowers","BAL","81.2","1157.5","6.5","9.9","58.8","0.5","1.5","201.2"
"Malik Nabers","NYG","81.4","1083.1","8.4","2.8","8.3","0.1","0.4","199.9"
"Garrett Wilson","NYJ","96.4","1094.5","6.4","1.1","4.3","0.0","1.0","194.6"
"Tetairoa McMillan","CAR","81.2","1146.7","6.6","0.0","0.0","0.0","0.9","193.2"
"DeVonta Smith","PHI","87.8","1134.9","6.0","0.0","0.0","0.0","0.3","192.9"
"Emeka Egbuka","TB","73.2","1097.8","7.5","1.4","7.3","0.0","0.3","191.6"
"Davante Adams","LAR","68.5","926.2","10.2","0.0","0.0","0.0","0.2","187.7"
"Tee Higgins","CIN","70.8","965.3","9.1","0.0","0.0","0.0","0.2","186.3"
"Jameson Williams","DET","64.4","1065.4","6.6","7.3","42.0","0.5","0.2","185.1"
"Ladd McConkey","LAC","79.2","1010.1","6.8","0.0","0.0","0.0","0.3","180.7"
"Terry McLaurin","WAS","69.0","972.1","7.4","0.3","0.3","0.0","0.3","175.3"
"Rome Odunze","CHI","62.4","963.3","7.8","0.3","1.3","0.0","0.3","173.9"
"DJ Moore","BUF","69.4","905.1","7.0","10.3","54.0","0.5","0.8","173.8"
