Rank,Player (Bye),POS,ESPN,Sleeper,CBS,RTSports,Fantrax,AVG
269,Rashid Shaheed   SEA (5),WR83,,244,,250,,259.7
270,Matt Prater,K24,239,,,,,241.0
271,Robert Woods,WR84,,240,,249,,261.0
272,Arizona Cardinals DST   (14),DST29,237,,,,,242.0
273,Isaiah Likely   NYG (13),TE32,,256,,270,,262.0
274,Darius Slayton   NYG (13),WR85,,,,236,,245.5
275,Kyren Williams   LAR (10),RB71,,,,193,,193.0
276,Sean Tucker   TB (5),RB72,,,,198,,198.0
277,Brandon Aubrey   DAL (7),K25,226,,,272,,249.0
278,Anders Carlson,K26,220,,,,,251.5
279,Josh Downs   IND (11),WR86,,241,,263,,252.0
280,Kyle Juszczyk   SF (9),RB73,255,,,,,253.5
281,Cairo Santos   CHI (13),K27,209,,,,,209.0
282,Darnell Washington   PIT (6),TE33,236,,,,,254.5
283,Tom Brady,QB34,214,,,,,214.0
284,Cade Otton   TB (5),TE34,,282,,255,,271.7
285,Brett Maher,K28,216,,,,,216.0
286,Jimmy Graham,TE35,219,,,,,219.0
287,Wan'Dale Robinson   TEN (7),WR87,,259,,260,,259.5
288,Michael Carter   TEN (7),RB74,,276,,,,260.0
289,Keaontay Ingram,RB75,,262,,258,,260.0
290,Richie James Jr.,WR88,343,,,220,,281.5
291,Indianapolis Colts DST   (11),DST30,315,,,,,268.0
292,Puka Nacua   LAR (10),WR89,,268,,262,,265.0
293,Atlanta Falcons DST   (11),DST31,,,,,,231.0
294,Blake Grupe   IND (11),K29,232,,,,,232.0
295,Jermar Jefferson   MIN (13),RB76,233,,,,,233.0
296,Chad Ryland   ARI (14),K30,238,,,,,266.5
297,Cade York,K31,328,,,,,280.5
298,Joey Slye   TEN (7),K32,245,,,,,267.0
299,Joshua Palmer   BUF (13),WR90,,,,238,,267.5
300,Noah Gray   KC (10),TE36,248,,,,,268.0
301,Chase Edmonds   WAS (14),RB77,,,,237,,237.0
302,Ka'imi Fairbairn   HOU (7),K33,340,,,,,289.5
303,Malik Cunningham   DET (9),QB35,241,,,,,241.0
304,Rob Gronkowski,TE37,242,,,,,242.0
305,Tanner Brown   NO (11),K34,243,,,,,243.0
306,Luke Schoonmaker   DAL (7),TE38,244,,,,,244.0
307,Houston Texans DST   (7),DST32,,,,,,245.0
308,Robbie Gould,K35,246,,,,,246.0
309,Bruce Anderson III,RB78,,246,,,,246.0
310,Kyle Allen   BUF (13),QB36,247,,,,,247.0
311,Henry Litwin,WR91,,248,,,,248.0
312,Allen Robinson II,WR92,,284,,264,,274.0
313,Jake Bobo   SEA (5),WR93,249,,,,,249.0
314,Antonio Brown,WR94,250,,,,,250.0
315,Mason Crosby,K36,251,,,,,251.0
316,Calvin Austin III   NYG (13),WR95,252,,,,,275.5
317,Trey McBride   ARI (14),TE39,,252,,,,252.0
318,Blake Bell,TE40,254,,,,,254.0
319,Jaleel McLaughlin   DEN (9),RB79,,,,254,,254.0
320,Eric Ebron,TE41,,255,,,,255.0
321,Trey Palmer   NO (11),WR96,256,,,,,256.0
322,Connor Heyward   LV (13),TE42,257,,,,,257.0
323,DeWayne McBride,RB80,291,266,,,,278.5
324,Ben Roethlisberger,QB37,258,,,,,258.0
325,Robert Tonyan   PIT (6),TE43,301,,,,,280.0
326,Christopher Dunn,K37,260,,,,,260.0
327,Max Duggan,QB38,261,,,,,261.0
328,Christian Trahan,TE44,,261,,,,261.0
329,Daniel Bellinger   TEN (7),TE45,268,,,,,280.5
330,Stetson Bennett IV   LAR (10),QB39,263,,,,,263.0
331,Israel Abanikanda   DAL (7),RB81,364,263,,,,313.5
332,James Robinson,RB82,443,,,,,353.0
333,Adrian Peterson,RB83,264,,,,,264.0
334,Tristan Vizcaino,K38,,,,,,264.0
335,Nikola Kalinic   CHI (13),TE46,,265,,,,265.0
336,Zack Kuntz   DAL (7),TE47,265,,,,,265.0
337,Jelani Woods   NYJ (7),TE48,,288,,,,282.5
338,Marvin Jones Jr.,WR97,,,,,,266.0
339,Mohamed Ibrahim,RB84,266,,,,,266.0
340,Chase Cota- DUP,WR98,267,,,,,267.0
341,Austin Watkins Jr.,WR99,269,,,,,269.0
342,Zach Evans,RB85,,270,,,,270.0
343,Chris Naggar,K39,270,,,,,270.0
344,Rico Dowdle   PIT (6),RB86,,,,271,,271.0
345,Armani Rogers,TE49,271,,,,,271.0
346,John Mitchell,TE50,,271,,,,271.0
347,C.J. Uzomah,TE51,272,,,,,272.0
348,Michael Wilson   ARI (14),WR100,,272,,,,272.0
349,Matt Breida,RB87,,,,273,,273.0
350,Tucker Kraft   GB (6),TE52,273,,,,,273.0
351,Boston Scott,RB88,292,,,,,286.5
352,Justin Watson   HOU (7),WR101,274,,,,,274.0
353,Zach Wilson   NO (11),QB40,275,,,,,275.0
354,Joseph Ngata,WR102,276,,,,,276.0
355,Marcus Mariota   WAS (14),QB41,277,,,,,277.0
356,Ronnie Bell   NO (11),WR103,278,,,,,278.0
357,Matt Barkley,QB42,279,,,,,279.0
358,Logan Thomas,TE53,,,,,,279.0
359,Austin Allen,TE54,,279,,,,279.0
360,Will Dissly,TE55,,,,,,280.0
361,Albert Okwuegbunam Jr.   LV (13),TE56,280,,,,,280.0
362,Rodrigo Blankenship,K40,281,,,,,281.0
363,Khalil Shakir   BUF (13),WR104,399,281,,,,340.0
364,Dustin Hopkins,K41,,,,,,282.0
365,Deneric Prince,RB89,282,,,,,282.0
366,Durham Smythe   BAL (13),TE57,283,,,,,283.0
367,Julio Jones,WR105,284,,,,,284.0
368,Quez Watkins   PHI (10),WR106,,,,,,284.0
369,Mitchell Trubisky   TEN (7),QB43,285,,,,,285.0
370,Tyquan Thornton   KC (10),WR107,,285,,,,285.0
371,Josh Woodrum,QB44,,286,,,,286.0
372,Equanimeous St. Brown,WR108,286,,,,,286.0
373,Nick Sciba,K42,287,,,,,287.0
374,Thomas Greaney,TE58,,287,,,,287.0
375,Isaiah McKenzie,WR109,490,,,,,388.5
376,Josh Oliver   MIN (13),TE59,288,,,,,288.0
377,Jake Browning   TB (5),QB45,289,,,,,289.0
378,Pierre Strong Jr.   GB (6),RB90,,289,,,,289.0
379,Cooper Rush   ATL (11),QB46,290,,,,,290.0
380,Cole McDonald,QB47,,290,,,,290.0
381,Terrace Marshall Jr.   MIA (10),WR110,,291,,,,291.0
382,Kyle Lauletta,QB48,,292,,,,292.0
383,Trenton Irwin   SF (9),WR111,293,,,,,293.0
384,Danny Etling,QB49,,294,,,,294.0
385,Trace McSorley,QB50,294,,,,,294.0
386,KaVontae Turpin   DAL (7),WR112,295,,,,,295.0
387,Cam Newton,QB51,296,,,,,296.0
388,Jauan Jennings   MIN (13),WR113,,,,,,296.0
389,Peyton Hendershot,TE60,297,,,,,297.0
390,Malik Flowers,WR114,,297,,,,297.0
391,Teddy Bridgewater,QB52,298,,,,,298.0
392,Sterling Shepard   HOU (7),WR115,,,,,,298.0
393,Drew Lock   SEA (5),QB53,299,,,,,299.0
394,J.J. Taylor,RB91,300,,,,,300.0
395,Darius Jackson,RB92,,301,,,,301.0
396,Jack Stoll,TE61,302,,,,,302.0
397,Troy Fumagalli,TE62,,303,,,,303.0
398,Sean Clifford   CIN (7),QB54,303,,,,,303.0
399,Josh Hill,TE63,,304,,,,304.0
400,Binjimen Victor,WR116,304,,,,,304.0
401,Devin Duvernay   ARI (14),WR117,310,,,,,305.0
402,Levine Toilolo,TE64,,305,,,,305.0
403,C.J. Ham,RB93,305,,,,,305.0
404,Charlie Jones   CIN (7),WR118,306,,,,,306.0
405,Ryan Succop,K43,307,,,,,307.0
406,Nate Stanley,QB55,,307,,,,307.0
407,Le'Veon Bell,RB94,308,,,,,308.0
408,Kaden Smith,TE65,,308,,,,308.0
409,Marquise Goodwin,WR119,309,,,,,309.0
410,Nick Bowers,TE66,,309,,,,309.0
411,Briley Moore,TE67,,310,,,,310.0
412,Grant DuBose,WR120,311,,,,,311.0
413,Ross Travis,TE68,,312,,,,312.0
414,Olamide Zaccheaus   ATL (11),WR121,312,,,,,312.0
415,Jason Brownlee   KC (10),WR122,313,,,,,313.0
416,Derek Watt,RB95,314,,,,,314.0
417,Matt Bushman,TE69,,314,,,,314.0
418,Jordan Matthews,TE70,,316,,,,316.0
419,Hendon Hooker   TEN (7),QB56,316,,,,,316.0
420,Kahale Warring,TE71,,317,,,,317.0
421,Brock Wright   DET (9),TE72,317,,,,,317.0
422,DaeSean Hamilton,WR123,,318,,,,318.0
423,Jalen Tolbert   MIA (10),WR124,318,,,,,318.0
424,Jonnu Smith   GB (6),TE73,319,,,,,319.0
425,Jarrett Stidham   DEN (9),QB57,320,,,,,320.0
426,Andrei Iosivas   CIN (7),WR125,321,,,,,321.0
427,Jameis Winston   NYG (13),QB58,322,,,,,322.0
428,D'Vonte Price,RB96,323,,,,,323.0
429,Blaine Gabbert,QB59,324,,,,,324.0
430,Patrick Ricard   NYG (13),RB97,325,,,,,325.0
431,Josh Lambo,K44,326,,,,,326.0
432,Drew Sample   CIN (7),TE74,327,,,,,327.0
433,Tyson Bagent   CHI (13),QB60,329,,,,,329.0
434,Adam Humphries,WR126,330,,,,,330.0
435,Tre' McKitty   WAS (14),TE75,331,,,,,331.0
436,Lirim Hajrullahu,K45,332,,,,,332.0
437,Anthony Brown Jr.,QB61,333,,,,,333.0
438,Matthew Slater,WR127,334,,,,,334.0
439,Josh Gordon,WR128,335,,,,,335.0
440,Adam Trautman   DEN (9),TE76,336,,,,,336.0
441,Roger Carter Jr.,TE77,337,,,,,337.0
442,Gunner Olszewski   NYG (13),WR129,338,,,,,338.0
443,Dorian Thompson-Robinson,QB62,339,,,,,339.0
444,Elijah Higgins   ARI (14),TE78,341,,,,,341.0
445,Randy Bullock,K46,342,,,,,342.0
446,Elijah Dotson,RB98,344,,,,,344.0
447,James White,RB99,345,,,,,345.0
448,Andy Dalton   PHI (10),QB63,346,,,,,346.0
449,Harrison Bryant,TE79,347,,,,,347.0
450,Ryan Fitzpatrick,QB64,348,,,,,348.0
451,Brenton Strange   JAC (9),TE80,349,,,,,349.0
452,Ray-Ray McCloud III   CHI (13),WR130,350,,,,,350.0
453,Mo Alie-Cox   IND (11),TE81,351,,,,,351.0
454,John FitzPatrick,TE82,401,302,,,,351.5
455,Trent Sherfield Sr.   BUF (13),WR131,352,,,,,352.0
456,Cedrick Wilson Jr.,WR132,353,,,,,353.0
457,Julian Hill   NE (11),TE83,355,,,,,355.0
458,Dontayvion Wicks   PHI (10),WR133,356,,,,,356.0
459,Jared Cook,TE84,414,300,,,,357.0
460,Mitchell Wilcox,TE85,357,,,,,357.0
461,Xavier Gipson   NYG (13),WR134,358,,,,,358.0
462,Alec Ingold   LAC (5),RB100,359,,,,,359.0
463,Devonta Freeman,RB101,360,,,,,360.0
464,Brycen Hopkins,TE86,361,,,,,361.0
465,Colby Parkinson   LAR (10),TE87,362,,,,,362.0
466,John Bates   WAS (14),TE88,363,,,,,363.0
467,Tre Nixon,WR135,365,,,,,365.0
468,Josh Adams,RB102,366,,,,,366.0
469,Eric Gray   NYG (13),RB103,367,,,,,367.0
470,Aidan O'Connell   LV (13),QB65,369,,,,,369.0
471,Hunter Luepke   DAL (7),RB104,370,,,,,370.0
472,River Cracraft,WR136,371,,,,,371.0
473,Chris Brooks   GB (6),RB105,372,,,,,372.0
