Rank,Player (Bye),POS,ESPN,Sleeper,CBS,RTSports,Fantrax,AVG
1,Justin Jefferson   MIN (13),WR1,1,1,,1,,1.0
2,Christian McCaffrey   SF (9),RB1,3,2,,2,,2.3
3,Ja'Marr Chase   CIN (7),WR2,2,3,,3,,3.0
4,Austin Ekeler,RB2,4,4,,4,,3.8
5,Travis Kelce   KC (10),TE1,5,5,,7,,5.8
6,Tyreek Hill,WR3,6,6,,5,,6.3
7,Saquon Barkley   PHI (10),RB3,9,9,,6,,7.8
8,Bijan Robinson   ATL (11),RB4,7,8,,8,,8.0
9,Stefon Diggs   WAS (14),WR4,11,7,,12,,10.0
10,Nick Chubb,RB5,13,10,,9,,12.3
11,Davante Adams   LAR (10),WR5,8,14,,17,,12.8
12,CeeDee Lamb   DAL (7),WR6,16,11,,11,,13.3
13,Cooper Kupp   SEA (5),WR7,14,15,,21,,13.8
14,Patrick Mahomes II   KC (10),QB1,12,12,,18,,14.5
15,A.J. Brown   NE (11),WR8,19,13,,15,,15.0
16,Tony Pollard   TEN (7),RB6,15,21,,10,,16.0
17,Derrick Henry   BAL (13),RB7,10,16,,19,,16.0
18,Josh Jacobs   GB (6),RB8,18,19,,13,,16.0
19,Garrett Wilson   NYJ (7),WR9,17,18,,14,,17.3
20,Amon-Ra St. Brown   DET (9),WR10,21,17,,16,,18.8
21,Josh Allen   BUF (13),QB2,20,20,,20,,20.5
22,Jalen Hurts   PHI (10),QB3,22,23,,23,,22.8
23,Jaylen Waddle   DEN (9),WR11,25,22,,26,,24.5
24,Chris Olave   NO (11),WR12,28,24,,22,,26.5
25,DeVonta Smith   PHI (10),WR13,30,27,,24,,27.0
26,Najee Harris   NYG (13),RB9,29,28,,25,,28.0
27,Tee Higgins   CIN (7),WR14,26,25,,35,,28.8
28,Travis Etienne Jr.   NO (11),RB10,27,30,,27,,28.8
29,Mark Andrews   BAL (13),TE2,36,26,,33,,30.3
30,Rhamondre Stevenson   NE (11),RB11,37,29,,28,,30.5
31,DK Metcalf   PIT (6),WR15,24,31,,36,,31.3
32,Joe Mixon,RB12,23,36,,31,,33.0
33,Jahmyr Gibbs   DET (9),RB13,33,33,,29,,33.0
34,Lamar Jackson   BAL (13),QB4,31,32,,38,,34.0
35,Calvin Ridley   TEN (7),WR16,38,34,,30,,34.5
36,Joe Burrow   CIN (7),QB5,34,35,,37,,34.8
37,Aaron Jones Sr.   MIN (13),RB14,32,40,,39,,37.3
38,Deebo Samuel Sr.   SF (9),WR17,35,37,,41,,38.0
39,Breece Hall   NYJ (7),RB15,48,39,,52,,40.8
40,Amari Cooper,WR18,41,42,,40,,42.0
41,Keenan Allen   IND (11),WR19,39,38,,45,,43.5
42,Justin Herbert   LAC (5),QB6,42,46,,42,,43.5
43,Kenneth Walker III   KC (10),RB16,50,41,,34,,43.8
44,Justin Fields   KC (10),QB7,44,44,,49,,44.3
45,T.J. Hockenson   MIN (13),TE3,43,47,,44,,45.3
46,Dameon Pierce   PHI (10),RB17,40,49,,32,,46.3
47,Jonathan Taylor   IND (11),RB18,67,45,,68,,47.8
48,George Kittle   SF (9),TE4,49,43,,60,,49.5
49,Miles Sanders,RB19,59,54,,48,,50.5
50,Darren Waller   CAR (7),TE5,45,52,,51,,50.5
51,DJ Moore   BUF (13),WR20,55,50,,55,,50.8
52,DeAndre Hopkins   BAL (13),WR21,47,48,,59,,52.5
53,Terry McLaurin   WAS (14),WR22,65,51,,53,,54.3
54,Trevor Lawrence   JAC (9),QB8,60,53,,58,,55.0
55,Christian Watson   GB (6),WR23,46,60,,56,,55.3
56,Mike Williams,WR24,63,70,,57,,60.8
57,Alvin Kamara   NO (11),RB20,51,63,,64,,61.5
58,Kyle Pitts Sr.   ATL (11),TE6,58,59,,75,,62.3
59,Alexander Mattison,RB21,54,57,,46,,62.8
60,Dalvin Cook,RB22,72,69,,62,,63.5
61,Dallas Goedert   PHI (10),TE7,62,58,,77,,63.8
62,Cam Akers,RB23,68,66,,61,,64.0
63,James Conner   ARI (14),RB24,57,65,,63,,64.5
64,Rachaad White   WAS (14),RB25,52,77,,50,,65.5
65,Drake London   ATL (11),WR25,77,55,,66,,66.8
66,Chris Godwin Jr.   TB (5),WR26,56,61,,65,,67.0
67,Tyler Lockett   LV (13),WR27,69,67,,70,,70.5
68,James Cook III   BUF (13),RB26,61,82,,47,,71.3
69,Jerry Jeudy   CLE (5),WR28,75,72,,81,,72.0
70,Brandon Aiyuk   SF (9),WR29,73,64,,67,,72.0
71,Isiah Pacheco   DET (9),RB27,71,73,,71,,72.5
72,Javonte Williams   DAL (7),RB28,70,78,,54,,72.8
73,D'Andre Swift   CHI (13),RB29,86,62,,72,,74.3
74,Diontae Johnson,WR30,53,80,,73,,74.8
75,Mike Evans   SF (9),WR31,64,75,,83,,75.8
76,Deshaun Watson   CLE (5),QB9,66,89,,94,,76.0
77,Christian Kirk   SF (9),WR32,84,71,,69,,76.0
78,Evan Engram   DEN (9),TE8,79,76,,91,,78.3
79,Michael Pittman Jr.   PIT (6),WR33,87,68,,79,,81.5
80,San Francisco 49ers DST   (9),DST1,74,87,,108,,82.8
81,George Pickens   DAL (7),WR34,78,74,,74,,83.0
82,David Njoku   LAC (5),TE9,90,86,,104,,85.8
83,David Montgomery   HOU (7),RB30,76,83,,76,,86.0
84,Dak Prescott   DAL (7),QB10,89,88,,93,,89.5
85,Justin Tucker,K1,83,91,,116,,90.3
86,Hollywood Brown   PHI (10),WR35,81,79,,88,,91.3
87,Jahan Dotson   ATL (11),WR36,94,90,,82,,91.8
88,Tua Tagovailoa   ATL (11),QB11,101,92,,109,,93.5
89,Jordan Addison   MIN (13),WR37,102,85,,86,,93.8
90,AJ Dillon   CAR (7),RB31,96,93,,84,,94.5
91,Brandin Cooks,WR38,88,97,,92,,95.0
92,Pat Freiermuth   PIT (6),TE10,82,84,,89,,95.3
93,Jaxon Smith-Njigba   SEA (5),WR39,99,81,,96,,97.5
94,Khalil Herbert   SF (9),RB32,91,105,,78,,99.0
95,Aaron Rodgers   PIT (6),QB12,93,94,,122,,101.8
96,Jamaal Williams,RB33,113,104,,90,,103.8
97,Philadelphia Eagles DST   (10),DST2,142,96,,121,,106.0
98,Courtland Sutton   DEN (9),WR40,92,118,,87,,106.0
99,Michael Thomas,WR41,104,95,,106,,106.3
100,Odell Beckham Jr.   NYG (13),WR42,103,109,,114,,106.3
101,Gabe Davis,WR43,118,101,,102,,108.3
102,Buffalo Bills DST   (13),DST3,97,117,,150,,108.5
103,Brian Robinson Jr.   ATL (11),RB34,100,102,,85,,109.3
104,JuJu Smith-Schuster,WR44,115,106,,103,,109.3
105,Kirk Cousins   LV (13),QB13,85,111,,119,,109.8
106,Antonio Gibson,RB35,112,98,,80,,112.5
107,Treylon Burks   WAS (14),WR45,116,107,,126,,114.0
108,Daniel Carlson   NO (11),K2,111,124,,143,,114.3
109,Zay Flowers   BAL (13),WR46,110,100,,107,,115.0
110,Kadarius Toney,WR47,154,99,,124,,116.8
111,Zach Charbonnet   SEA (5),RB36,138,114,,101,,118.0
112,Dallas Cowboys DST   (7),DST4,109,108,,131,,118.3
113,Samaje Perine   CIN (7),RB37,121,123,,99,,118.5
114,Anthony Richardson Sr.   IND (11),QB14,125,113,,125,,120.3
115,Dalton Schultz   HOU (7),TE11,120,112,,135,,120.5
116,Daniel Jones   IND (11),QB15,114,141,,105,,120.8
117,New York Jets DST   (7),DST5,128,121,,166,,122.3
118,Geno Smith   NYJ (7),QB16,124,131,,128,,124.8
119,Quentin Johnston   LAC (5),WR48,126,103,,137,,125.3
120,Jerick McKinnon,RB38,127,129,,112,,125.3
121,Dalton Kincaid   BUF (13),TE12,131,120,,113,,127.0
122,Skyy Moore   GB (6),WR49,98,130,,97,,127.5
123,New England Patriots DST   (11),DST6,141,144,,151,,128.5
124,Tyler Bass   BUF (13),K3,136,128,,148,,129.0
125,Cole Kmet   CHI (13),TE13,105,119,,155,,129.5
126,Evan McPherson   CIN (7),K4,106,110,,164,,130.3
127,Harrison Butker   KC (10),K5,108,116,,168,,133.5
128,Ezekiel Elliott,RB39,130,125,,118,,134.8
129,Raheem Mostert   LV (13),RB40,122,140,,98,,135.0
130,Tyler Higbee   LAR (10),TE14,117,135,,142,,136.3
131,Jason Myers   SEA (5),K6,144,151,,170,,136.8
132,De'Von Achane   MIA (10),RB41,180,132,,95,,136.8
133,Adam Thielen,WR50,137,127,,127,,137.3
134,Baltimore Ravens DST   (13),DST7,167,138,,163,,138.8
135,Jared Goff   DET (9),QB17,153,148,,120,,138.8
136,Younghoe Koo,K7,152,133,,186,,139.0
137,Rashaad Penny,RB42,129,115,,115,,140.3
138,Elijah Mitchell,RB43,148,139,,117,,140.3
139,Pittsburgh Steelers DST   (6),DST8,95,142,,192,,141.5
140,Allen Lazard,WR51,160,126,,134,,143.5
141,Miami Dolphins DST   (10),DST9,123,147,,217,,145.8
142,Juwan Johnson   NO (11),TE15,162,195,,132,,147.3
143,Russell Wilson,QB18,135,167,,158,,148.0
144,Jakobi Meyers   JAC (9),WR52,119,153,,152,,150.0
145,Elijah Moore   PHI (10),WR53,145,122,,110,,151.0
146,Rashod Bateman   BAL (13),WR54,197,143,,157,,152.0
147,New Orleans Saints DST   (11),DST10,107,157,,182,,154.0
148,Jameson Williams   DET (9),WR55,190,136,,160,,154.0
149,Chig Okonkwo   WAS (14),TE16,156,146,,147,,154.5
150,Graham Gano,K8,132,162,,230,,155.3
151,Tyler Boyd,WR56,151,145,,179,,156.0
152,Devin Singletary   NYG (13),RB44,150,171,,149,,159.3
153,Tyler Allgeier   ARI (14),RB45,158,154,,140,,160.0
154,Jake Elliott   PHI (10),K9,133,134,,209,,161.0
155,Gerald Everett,TE17,159,173,,195,,162.0
156,Jaylen Warren   PIT (6),RB46,149,160,,100,,162.8
157,Derek Carr,QB19,164,166,,162,,163.3
158,Damien Harris,RB47,181,149,,123,,164.5
159,Jalin Hyatt   NYG (13),WR57,201,163,,153,,166.3
160,Kansas City Chiefs DST   (10),DST11,183,169,,204,,166.5
161,Brock Purdy   SF (9),QB20,163,158,,191,,167.0
162,Sam LaPorta   DET (9),TE18,170,152,,145,,168.3
163,Kenny Pickett   CAR (7),QB21,155,181,,154,,168.3
164,Tank Bigsby   PHI (10),RB48,173,137,,111,,169.8
165,Zay Jones   HOU (7),WR58,177,168,,174,,173.3
166,Darnell Mooney   NYG (13),WR59,140,155,,172,,174.0
167,Nico Collins   HOU (7),WR60,146,185,,141,,174.0
168,Greg Dulcich   MIA (10),TE19,195,170,,176,,176.0
169,Matthew Stafford   LAR (10),QB22,165,209,,194,,178.8
170,Washington Commanders DST   (14),DST12,175,176,,189,,179.8
171,Deuce Vaughn   HOU (7),RB49,191,159,,161,,180.0
172,Romeo Doubs   NE (11),WR61,193,165,,129,,180.3
173,Cincinnati Bengals DST   (7),DST13,172,201,,222,,180.8
174,Bryce Young   CAR (7),QB23,176,174,,228,,183.3
176,Green Bay Packers DST   (6),DST14,161,184,,251,,187.3
177,Kenny Gainwell   TB (5),RB50,192,180,,130,,187.5
178,Jordan Love   GB (6),QB24,179,189,,199,,189.0
179,Michael Gallup,WR62,143,188,,231,,190.0
180,Jonathan Mingo   DAL (7),WR63,210,172,,184,,190.3
181,Cameron Dicker   LAC (5),K10,171,178,,181,,190.5
182,Dawson Knox   BUF (13),TE20,185,164,,266,,191.8
183,K.J. Osborn   TEN (7),WR64,169,213,,167,,192.3
184,Matt Gay   LV (13),K11,166,190,,248,,193.8
185,Jacksonville Jaguars DST   (9),DST15,253,197,,169,,194.5
186,Roschon Johnson   CHI (13),RB51,184,194,,133,,195.0
187,Brandon McManus,K12,240,156,,197,,196.5
188,Zach Ertz,TE21,157,216,,223,,198.8
189,Denver Broncos DST   (9),DST16,204,200,,219,,198.8
190,Cleveland Browns DST   (5),DST17,139,226,,243,,199.8
191,Seattle Seahawks DST   (5),DST18,223,179,,221,,200.0
192,DJ Chark Jr.,WR65,147,199,,227,,200.3
193,Sam Howell   DAL (7),QB25,200,229,,185,,200.3
194,Luke Musgrave   GB (6),TE22,205,202,,183,,200.8
195,Kyler Murray   MIN (13),QB26,194,198,,232,,201.5
196,D'Onta Foreman,RB52,,175,,136,,170.7
197,Jeff Wilson Jr.,RB53,168,,,211,,172.3
198,Taysom Hill,TE23,199,192,,265,,207.8
199,Kendre Miller   NO (11),RB54,,193,,177,,177.3
200,Greg Zuerlein,K13,188,,,207,,180.0
201,Marquez Valdes-Scantling   DAL (7),WR66,198,211,,218,,210.5
202,C.J. Stroud   HOU (7),QB27,196,214,,252,,211.5
203,Kareem Hunt,RB55,234,186,,144,,212.5
204,Deon Jackson,RB56,187,225,,139,,183.7
205,Jimmy Garoppolo   LAR (10),QB28,182,230,,234,,213.3
206,Rashee Rice   KC (10),WR67,,150,,188,,185.3
207,Jake Ferguson   DAL (7),TE24,203,203,,216,,214.8
208,Marvin Mims Jr.   DEN (9),WR68,228,182,,165,,216.5
209,Mike Gesicki   CIN (7),TE25,229,239,,206,,217.0
210,Cordarrelle Patterson,RB57,,220,,178,,190.3
211,Leonard Fournette,RB58,231,242,,214,,218.3
212,Michael Mayer   LV (13),TE26,217,191,,256,,218.8
213,Donovan Peoples-Jones,WR69,,210,,138,,194.3
214,Tyler Conklin   DET (9),TE27,186,238,,257,,222.3
215,Parris Campbell,WR70,189,245,,190,,222.8
216,Jason Sanders   NYJ (7),K14,,161,,235,,197.3
217,Gus Edwards,RB59,206,233,,187,,223.5
218,Hunter Renfrow,WR71,178,212,,268,,224.8
219,Clyde Edwards-Helaire,RB60,,196,,205,,201.7
220,Hayden Hurst,TE28,235,231,,225,,227.0
221,Nick Folk   ATL (11),K15,,227,,,,159.0
222,Chuba Hubbard   CAR (7),RB61,,206,,159,,206.0
223,Tyjae Spears   TEN (7),RB62,,205,,146,,207.7
224,Justyn Ross,WR72,218,187,,242,,230.8
225,Minnesota Vikings DST   (13),DST19,212,,,229,,211.0
226,New York Giants DST   (13),DST20,224,,,269,,213.0
227,Chris Boswell   PIT (6),K16,202,,,259,,214.0
228,Wil Lutz   DEN (9),K17,215,,,241,,217.7
229,Hunter Henry   NE (11),TE29,227,,,210,,217.7
230,Jayden Reed   GB (6),WR73,,218,,202,,220.0
231,Tank Dell   HOU (7),WR74,403,183,,212,,265.8
232,Ryan Tannehill,QB29,222,258,,224,,240.3
233,Jake Moody,K18,,204,,246,,220.7
234,Mac Jones   SF (9),QB30,207,247,,,,222.7
235,Tampa Bay Buccaneers DST   (5),DST21,,224,,226,,223.0
236,Irv Smith Jr.,TE30,470,221,,200,,285.0
237,Alec Pierce   IND (11),WR75,,208,,201,,226.3
238,Van Jefferson   WAS (14),WR76,,207,,175,,191.0
239,Curtis Samuel,WR77,,219,,247,,230.3
240,Los Angeles Chargers DST   (5),DST22,230,,,,,197.5
241,Carolina Panthers DST   (7),DST23,174,,,,,198.0
242,Detroit Lions DST   (9),DST24,208,,,,,199.0
243,Isaiah Hodgins   NYG (13),WR78,,232,,215,,233.7
244,Riley Patterson   MIA (10),K19,,,,267,,201.5
245,Zack Moss,RB63,,234,,173,,203.5
246,Ty Chandler   NO (11),RB64,,237,,180,,208.5
247,Zamir White   NO (11),RB65,,223,,196,,209.5
248,DeVante Parker,WR79,,249,,244,,239.7
249,Baker Mayfield   TB (5),QB31,211,264,,,,240.3
250,Greg Joseph,K20,,,,261,,212.5
251,Los Angeles Rams DST   (10),DST25,225,,,,,212.5
252,Eddy Pineiro   SF (9),K21,,,,,,129.0
253,Evan Hull   ARI (14),RB66,,228,,203,,215.5
254,Chase Brown   CIN (7),RB67,,215,,233,,246.0
255,Mecole Hardman Jr.   BUF (13),WR80,,235,,245,,247.3
256,Jerome Ford   WAS (14),RB68,,236,,208,,222.0
257,Chicago Bears DST   (13),DST26,221,,,,,222.0
258,Chase Claypool,WR81,,243,,240,,248.0
259,Joshua Kelley,RB69,,274,,171,,222.5
260,Las Vegas Raiders DST   (13),DST27,213,,,,,224.5
261,Desmond Ridder,QB32,,260,,239,,250.0
262,Tennessee Titans DST   (7),DST28,,222,,,,226.0
263,Chase McLaughlin   TB (5),K22,259,,,,,231.0
264,Noah Fant   NO (11),TE31,,253,,,,231.5
265,Latavius Murray,RB70,,,,213,,234.5
266,John Metchie III   CAR (7),WR82,,217,,253,,235.0
267,Trey Lance   LAC (5),QB33,262,278,,,,259.3
268,Michael Badgley,K23,368,,,,,273.0
