"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"97","Albert Okwuegbunam Jr. (LV)","6","1.2","5","36","7.2","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"98","Keleki Latu (BUF)","4","0.8","4","35","8.8","0","0","0","0","0","0","5","3.5","0.7","0.0%"
"99","Ben Sims (MIN)","6","1.3","3","30","10.0","0","0","0","0","0","0","9","3.0","0.3","0.0%"
"100","James Mitchell (CAR)","3","0.6","3","28","9.3","0","0","0","0","0","0","5","2.8","0.6","0.0%"
"101","Durham Smythe (CHI)","6","1.2","4","25","6.3","0","0","0","0","0","0","17","2.5","0.1","0.6%"
"102","Jelani Woods (NYJ)","4","0.8","1","4","4.0","0","0","0","0","0","0","6","2.4","0.4","3.9%"
"103","Shane Zylstra (DET)","5","0.9","3","20","6.7","0","0","0","0","0","0","5","2.0","0.4","1.1%"
"104","Tucker Fisk (LAC)","4","0.8","2","19","9.5","0","0","0","0","0","0","10","1.9","0.2","1.2%"
"105","Tip Reiman (ARI)","5","0.9","3","18","6.0","0","0","0","0","0","0","5","1.8","0.4","0.0%"
"105","Colson Yankoff (WAS)","3","0.6","2","18","9.0","0","0","0","0","0","0","14","1.8","0.1","1.1%"
"107","Zaire Mitchell-Paden (NO)","3","0.6","2","17","8.5","0","0","0","0","0","0","8","1.7","0.2","1.0%"
"108","Will Mallory (IND)","1","0.2","1","16","16.0","0","0","0","0","0","0","2","1.6","0.8","1.0%"
"109","Lucas Krull (DEN)","4","0.6","2","15","7.5","0","0","0","0","0","0","4","1.5","0.4","1.8%"
"110","Ben Yurosek (MIN)","3","0.6","2","14","7.0","0","0","0","0","0","0","12","1.4","0.1","0.0%"
"111","Sal Cannella (CLE)","5","1","2","11","5.5","0","0","0","0","0","0","2","1.1","0.6","0.1%"
"111","Payne Durham (TB)","4","0.8","1","11","11.0","0","0","0","0","0","0","17","1.1","0.1","1.1%"
"113","Moliki Matavao (NO)","2","0.4","2","10","5.0","0","0","0","0","0","0","6","1.0","0.2","1.0%"
"114","Chris Manhertz (NYG)","2","0.4","1","7","7.0","0","0","0","0","0","0","17","0.7","0.0","0.0%"
"114","Ross Dwelley (DET)","5","0.9","2","7","3.5","0","0","0","0","0","0","10","0.7","0.1","0.0%"
"114","Harrison Bryant (HOU)","6","1.2","2","7","3.5","0","0","0","0","0","0","12","0.7","0.1","0.0%"
"114","Cam Grandy (CIN)","2","0.4","2","7","3.5","0","0","0","0","0","0","5","0.7","0.1","0.0%"
"118","Blake Whiteheart (CLE)","6","1.2","2","4","2.0","0","0","0","0","0","0","16","0.4","0.0","0.0%"
"118","Jared Wiley (KC)","1","0.2","1","4","4.0","0","0","0","0","0","0","4","0.4","0.1","1.0%"
"120","Carter Runyon (LV)","1","0.2","1","3","3.0","0","0","0","0","0","0","11","0.3","0.0","0.0%"
"120","Drake Dabney (GB)","2","0.4","1","3","3.0","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"122","Robert Tonyan (KC)","1","0.2","1","1","1.0","0","0","0","0","0","0","16","0.1","0.0","0.0%"
"122","Pharaoh Brown (ARI)","2","0.3","2","1","0.5","0","0","0","0","0","0","7","0.1","0.0","0.0%"
"124","Marcedes Lewis (DEN)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"124","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"124","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Nick Vannett (LAR)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"124","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.5%"
"124","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"124","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"124","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"124","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Giovanni Ricci (DET)","1","0.2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"124","Feleipe Franks (ATL)","0","0","0","0","0","0","0","2","4","0","0","12","0.0","0.0","0.0%"
"124","Kenny Yeboah (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Thomas Fidone II (NYG)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"124","Zach Davidson (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"124","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.2%"
"124","Nikola Kalinic (CHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"124","Teagan Quitoriano (ATL)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"124","Cameron Latu (PHI)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","1.2%"
"124","Ko Kieft (TB)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"124","Brayden Willis (SF)","1","0.2","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"124","Patrick Murtagh (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Brady Russell (SEA)","1","0.2","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"124","E.J. Jenkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"124","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"124","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Jack Westover (NE)","2","0.4","1","0","0.0","0","0","0","0","0","0","17","0.0","0.0","0.0%"
"124","Treyton Welch (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"124","Hayden Rucci (MIA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"124","CJ Dippre (NE)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"124","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"124","Jackson Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"124","Zach Horton (DET)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"124","Nick Kallerup (SEA)","1","0.2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","1.0%"
""
""
