"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"402",14,"Miami Dolphins",MIA,"DST29","6","-","-","3 out of 5 stars","-117"
"403",14,"J'Mari Taylor",JAC,"RB109","7","-","-","4 out of 5 stars","-"
"404",14,"Daniel Carlson",NO,"K29","8","-","-","5 out of 5 stars","-16"
"405",14,"Tommy Tremble",CAR,"TE55","5","-","-","2 out of 5 stars","-48"
"406",14,"Devontez Walker",BAL,"WR142","13","-","-","4 out of 5 stars","-75"
"407",14,"Ashton Dulin",IND,"WR143","13","-","-","4 out of 5 stars","+92"
"408",14,"Ben Sauls",NYG,"K30","8","-","-","2 out of 5 stars","-99"
"409",14,"Marcus Mariota",WAS,"QB43","7","-","-","2 out of 5 stars","+46"
"410",14,"Jameis Winston",NYG,"QB44","8","-","-","4 out of 5 stars","-105"
"411",14,"Las Vegas Raiders",LV,"DST30","13","-","-","4 out of 5 stars","-148"
"412",14,"Barion Brown",NO,"WR144","8","-","-","3 out of 5 stars","+29"
"413",14,"Jordan Whittington",LAR,"WR145","11","-","-","1 out of 5 stars","-69"
"414",14,"Jam Miller",NE,"RB110","11","-","-","2 out of 5 stars","+265"
"415",15,"Rasheen Ali",BAL,"RB111","13","-","-","3 out of 5 stars","-"
"416",15,"Cade Klubnik",NYJ,"QB45","13","-","-","4 out of 5 stars","-75"
"417",15,"Ben Sinnott",WAS,"TE56","7","-","-","1 out of 5 stars","+192"
"418",15,"Sione Vaki",DET,"RB112","6","-","-","5 out of 5 stars","+252"
"419",15,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","+83"
"420",15,"Joe Milton III",DAL,"QB46","14","-","-","2 out of 5 stars","-41"
"421",15,"John Bates",WAS,"TE57","7","-","-","1 out of 5 stars","+180"
"422",15,"Austin Hooper",ATL,"TE58","11","-","-","3 out of 5 stars","+30"
"423",15,"Mitchell Evans",CAR,"TE59","5","-","-","2 out of 5 stars","-"
"424",15,"Isaiah Williams",NYJ,"WR146","13","-","-","4 out of 5 stars","+178"
"425",15,"Spencer Shrader",IND,"K31","13","-","-","4 out of 5 stars","-88"
"426",15,"Daniel Bellinger",TEN,"TE60","9","-","-","3 out of 5 stars","+127"
"427",15,"Austin Ekeler",FA,"RB113","-","-","-","-","+146"
"428",15,"Tyler Goodson",ATL,"RB114","11","-","-","2 out of 5 stars","-"
"429",15,"Hunter Luepke",DAL,"RB115","14","-","-","4 out of 5 stars","+78"
"430",15,"Tommy Myers",FA,"TE61","-","-","-","-","-"
"431",15,"Tai Felton",MIN,"WR147","6","-","-","5 out of 5 stars","+89"
"432",15,"Dameon Pierce",PHI,"RB116","10","-","-","4 out of 5 stars","-"
"433",15,"Elijah Higgins",ARI,"TE62","14","-","-","2 out of 5 stars","-69"
"434",15,"Dyami Brown",WAS,"WR148","7","-","-","2 out of 5 stars","+166"
"435",15,"Odell Beckham Jr.",NYG,"WR149","8","-","-","4 out of 5 stars","-95"
"436",15,"Greg Dortch",DET,"WR150","6","-","-","4 out of 5 stars","+27"
"437",15,"Marlin Klein",HOU,"TE63","8","-","-","4 out of 5 stars","+52"
"438",15,"Deion Burks",IND,"WR151","13","-","-","4 out of 5 stars","-"
"439",15,"Drew Stevens",WAS,"K32","7","-","-","5 out of 5 stars","-141"
"440",15,"Van Jefferson",WAS,"WR152","7","-","-","2 out of 5 stars","+212"
"441",15,"Dylan Laube",LV,"RB117","13","-","-","2 out of 5 stars","-"
"442",15,"Jake Moody",FA,"K33","-","-","-","-","-112"
"443",15,"Jason Sanders",NYJ,"K34","13","-","-","2 out of 5 stars","-128"
"444",15,"Terrell Jennings",FA,"RB118","-","-","-","-","-"
"445",15,"Damien Martinez",GB,"RB119","11","-","-","4 out of 5 stars","-"
"446",15,"Alec Ingold",LAC,"RB120","7","-","-","3 out of 5 stars","-"
"447",15,"Reggie Gilliam",NE,"RB121","11","-","-","2 out of 5 stars","+183"
"448",15,"Jeremy McNichols",WAS,"RB122","7","-","-","4 out of 5 stars","-"
"449",15,"Jonnu Smith",GB,"TE64","11","-","-","2 out of 5 stars","-"
"450",15,"Matt Hibner",BAL,"TE65","13","-","-","4 out of 5 stars","-"
"451",15,"Robert Henry Jr.",WAS,"RB123","7","-","-","4 out of 5 stars","-"
"452",15,"Ronnie Rivers",LAR,"RB124","11","-","-","5 out of 5 stars","+212"
"453",15,"Josh Williams",TB,"RB125","10","-","-","2 out of 5 stars","-130"
"454",15,"Mitch Tinsley",CIN,"WR153","6","-","-","4 out of 5 stars","+164"
"455",15,"Zavier Scott",MIN,"RB126","6","-","-","4 out of 5 stars","-"
"456",15,"Khalil Herbert",SF,"RB127","8","-","-","2 out of 5 stars","+200"
"457",15,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-158"
"458",15,"Will Kacmarek",MIA,"TE66","6","-","-","5 out of 5 stars","-102"
"459",15,"Jahdae Walker",CHI,"WR154","10","-","-","3 out of 5 stars","-66"
"460",15,"Josh Oliver",MIN,"TE67","6","-","-","4 out of 5 stars","-83"
"461",15,"Elijah Moore",PHI,"WR155","10","-","-","4 out of 5 stars","+193"
"462",15,"Patrick Ricard",NYG,"RB128","8","-","-","4 out of 5 stars","+68"
"463",15,"Roman Hemby",LV,"RB129","13","-","-","2 out of 5 stars","-"
"464",15,"Tyler Badie",DEN,"RB130","10","-","-","2 out of 5 stars","-"
"465",15,"Isaiah Williams",FA,"WR156","-","-","-","-","-"
"466",15,"DeAndre Hopkins",BAL,"WR157","13","-","-","4 out of 5 stars","-2"
"467",15,"Max Bredeson",MIN,"RB131","6","-","-","4 out of 5 stars","+57"
"468",15,"Ty Chandler",NO,"RB132","8","-","-","3 out of 5 stars","-"
"469",15,"Antonio Gibson",FA,"RB133","-","-","-","-","+117"
"470",15,"Tyler Lockett",LV,"WR158","13","-","-","2 out of 5 stars","-"
"471",15,"Adam Prentice",DEN,"RB134","10","-","-","2 out of 5 stars","+145"
"472",15,"Jordan Watkins",SF,"WR159","8","-","-","2 out of 5 stars","-"
"473",15,"Zach Ertz",FA,"TE68","-","-","-","-","+106"
"474",15,"Jacob Cowing",SF,"WR160","8","-","-","2 out of 5 stars","-"
"475",15,"Tanner Koziol",JAC,"TE69","7","-","-","3 out of 5 stars","+25"
"476",15,"Xavier Smith",LAR,"WR161","11","-","-","1 out of 5 stars","-79"
"477",15,"Tim Patrick",NYJ,"WR162","13","-","-","4 out of 5 stars","+169"
"478",15,"Riley Leonard",IND,"QB47","13","-","-","4 out of 5 stars","+117"
"479",15,"British Brooks",HOU,"RB135","8","-","-","4 out of 5 stars","+157"
"480",15,"Quinn Ewers",MIA,"QB48","6","-","-","3 out of 5 stars","-79"
"481",15,"Lew Nichols III",PIT,"RB136","9","-","-","2 out of 5 stars","-"
"482",15,"Jimmy Horn Jr.",CAR,"WR163","5","-","-","2 out of 5 stars","-43"
"483",15,"Jacob Saylors",DET,"RB137","6","-","-","5 out of 5 stars","+111"
"484",15,"Jackson Hawes",BUF,"TE70","7","-","-","3 out of 5 stars","-48"
"485",15,"Drew Allar",PIT,"QB49","9","-","-","2 out of 5 stars","-179"
"486",16,"Marquez Valdes-Scantling",DAL,"WR164","14","-","-","2 out of 5 stars","-27"
"487",16,"Chris Blair",ATL,"WR165","11","-","-","3 out of 5 stars","-"
"488",16,"Tyrod Taylor",GB,"QB50","11","-","-","4 out of 5 stars","-121"
"489",16,"Moliki Matavao",NO,"TE71","8","-","-","2 out of 5 stars","-"
"490",16,"Jake Browning",TB,"QB51","10","-","-","2 out of 5 stars","-106"
"491",16,"Michael Woods II",DEN,"WR166","10","-","-","2 out of 5 stars","-"
"492",16,"Jalen Reagor",MIA,"WR167","6","-","-","3 out of 5 stars","-"
"493",16,"Xavier Restrepo",TEN,"WR168","9","-","-","3 out of 5 stars","-"
"494",16,"Drew Sample",CIN,"TE72","6","-","-","3 out of 5 stars","-1"
"495",16,"Adam Trautman",DEN,"TE73","10","-","-","4 out of 5 stars","-63"
"496",16,"Dominic Zvada",NYG,"K35","8","-","-","2 out of 5 stars","-134"
"497",16,"Cade Stover",HOU,"TE74","8","-","-","4 out of 5 stars","-1"
"498",16,"Kene Nwangwu",NYJ,"RB138","13","-","-","3 out of 5 stars","-"
"499",16,"Gardner Minshew II",ARI,"QB52","14","-","-","2 out of 5 stars","+73"
"500",16,"Reggie Virgil",ARI,"WR169","14","-","-","2 out of 5 stars","+129"
"501",16,"Noah Whittington",HOU,"RB139","8","-","-","4 out of 5 stars","-"
"502",16,"Cash Jones",ATL,"RB140","11","-","-","2 out of 5 stars","-"
"503",16,"Michael Burton",CLE,"RB141","11","-","-","3 out of 5 stars","+114"
"504",16,"Durham Smythe",BAL,"TE75","13","-","-","4 out of 5 stars","+92"
"505",16,"Tyson Bagent",CHI,"QB53","10","-","-","3 out of 5 stars","+94"
"506",16,"Nate Boerkircher",JAC,"TE76","7","-","-","3 out of 5 stars","+102"
"507",16,"Jeremy Ruckert",NYJ,"TE77","13","-","-","4 out of 5 stars","-3"
"508",16,"KeAndre Lambert-Smith",LAC,"WR170","7","-","-","2 out of 5 stars","+1"
"509",16,"Tanner Hudson",CIN,"TE78","6","-","-","3 out of 5 stars","+94"
"510",16,"Luke Schoonmaker",DAL,"TE79","14","-","-","2 out of 5 stars","-145"
"511",16,"Frank Gore Jr.",BUF,"RB142","7","-","-","2 out of 5 stars","+45"
"512",16,"Josh Cameron",JAC,"WR171","7","-","-","4 out of 5 stars","+128"
"513",16,"Jaret Patterson",LAC,"RB143","7","-","-","3 out of 5 stars","-"
"514",16,"Trey Lance",LAC,"QB54","7","-","-","2 out of 5 stars","-86"
"515",16,"Velus Jones Jr.",SEA,"WR172","11","-","-","3 out of 5 stars","-"
"516",16,"Jaydn Ott",KC,"RB144","5","-","-","3 out of 5 stars","-"
"517",16,"Lil'Jordan Humphrey",DEN,"WR173","10","-","-","2 out of 5 stars","-162"
