"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","108.9","1069.1","6.8","0.2","201.6"
"Brock Bowers","LV","96.6","1022.9","7.5","0.2","195.4"
"Colston Loveland","CHI","79.1","927.1","6.7","0.2","171.8"
"Tyler Warren","IND","79.0","878.5","5.5","0.3","159.7"
"Harold Fannin Jr.","CLE","79.9","818.7","5.4","0.8","152.7"
"George Kittle","SF","69.4","787.6","6.2","0.2","150.4"
"Kyle Pitts Sr.","ATL","77.2","845.2","4.4","0.1","149.2"
"Sam LaPorta","DET","70.4","813.9","5.5","0.2","148.9"
"Tucker Kraft","GB","61.5","785.8","6.5","0.2","147.7"
"Dallas Goedert","PHI","65.5","689.2","7.6","0.2","146.7"
"Travis Kelce","KC","75.3","786.3","4.9","0.3","144.9"
"Mark Andrews","BAL","59.6","618.8","7.7","0.3","137.4"
"Isaiah Likely","NYG","63.1","745.3","5.0","1.3","133.7"
"Dalton Kincaid","BUF","57.1","706.8","5.5","0.2","131.6"
"Jake Ferguson","DAL","74.0","606.4","6.0","1.4","130.5"
"Hunter Henry","NE","55.5","650.6","5.4","0.1","125.2"
"Juwan Johnson","NO","64.7","730.3","3.3","1.3","122.4"
"Brenton Strange","JAC","60.0","661.2","4.3","0.2","121.7"
"Dalton Schultz","HOU","65.8","627.1","3.4","0.2","115.4"
"T.J. Hockenson","MIN","63.9","574.5","3.3","0.2","108.7"
"Pat Freiermuth","PIT","53.0","560.0","4.3","0.2","107.6"
"Greg Dulcich","MIA","54.6","620.0","3.2","1.2","106.2"
"Terrance Ferguson","LAR","39.0","533.4","5.1","0.2","103.3"
"Cade Otton","TB","54.8","557.4","3.1","0.1","101.5"
"Kenyon Sadiq","NYJ","49.0","537.6","4.0","0.7","100.8"
"AJ Barner","SEA","48.6","469.9","4.9","0.2","100.1"
"Chig Okonkwo","WAS","52.8","569.5","2.8","0.1","99.8"
"Darren Waller","CAR","43.4","446.5","4.7","0.1","94.2"
"Evan Engram","DEN","53.4","475.9","2.7","0.1","90.4"
"Gunnar Helm","TEN","48.9","444.1","3.1","0.2","87.1"
"David Njoku","LAC","42.3","396.6","4.3","0.1","86.3"
"Mike Gesicki","CIN","41.4","434.3","3.6","0.1","85.4"
"Oronde Gadsden II","LAC","37.8","474.9","2.8","0.6","82.2"
"Mason Taylor","NYJ","46.1","405.9","2.5","0.1","78.2"
"Colby Parkinson","LAR","33.3","342.5","4.0","0.6","73.8"
"Michael Mayer","LV","40.0","376.3","2.1","0.1","70.0"
"Dawson Knox","BUF","28.6","331.7","2.9","0.1","64.9"
"Theo Johnson","NYG","27.8","313.7","2.9","0.1","62.3"
"Darnell Washington","PIT","30.7","329.1","2.0","0.6","58.8"
"Tyler Higbee","LAR","25.1","296.5","2.4","0.0","56.6"
"Cole Kmet","CHI","26.2","274.1","2.2","0.1","53.7"
"Erick All Jr.","CIN","30.5","268.1","1.9","0.1","53.5"
"Noah Fant","NO","29.3","274.4","1.6","1.6","48.6"
"Will Kacmarek","MIA","26.6","250.7","1.9","0.6","48.5"
"Elijah Arroyo","SEA","23.6","240.1","1.9","0.2","46.6"
"Charlie Kolar","LAC","20.2","230.3","2.0","0.1","45.3"
"Brock Wright","DET","20.9","187.6","2.3","0.0","43.0"
"Josh Oliver","MIN","18.6","194.3","2.4","0.1","42.8"
"Daniel Bellinger","TEN","19.3","222.3","1.8","0.0","42.3"
"Austin Hooper","ATL","21.9","225.4","1.3","0.1","41.0"
"Tommy Tremble","CAR","21.1","197.8","1.8","0.1","40.8"
"Noah Gray","KC","21.1","212.0","1.5","0.1","40.5"
"Eli Stowers","PHI","20.9","214.5","1.4","0.6","39.1"
"Adam Trautman","DEN","19.3","197.2","1.5","0.0","38.2"
"Eli Raridon","NE","18.8","195.4","1.6","0.6","37.1"
