"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"76",7,"DJ Moore",BUF,"WR34","29","65","92","76.4","6.7","-2"
"77",7,"Parker Washington",JAC,"WR35","24","57","106","76.4","13.8","+4"
"78",8,"Derrick Henry",BAL,"RB22","32","52","88","78.8","10.8","-30"
"79",8,"Josh Jacobs",GB,"RB23","28","58","88","78.8","9.5","-23"
"80",8,"Kenyon Sadiq",NYJ,"TE9","21","63","123","79.7","16.2","+10"
"81",8,"Bhayshul Tuten",JAC,"RB24","23","67","97","82.1","7.7","-13"
"82",8,"DK Metcalf",PIT,"WR36","28","73","93","82.8","7.4","+12"
"83",8,"Dak Prescott",DAL,"QB14","33","61","135","83.4","18.8","+23"
"84",8,"Isaiah Likely",NYG,"TE10","26","69","115","83.6","11.7","+15"
"85",8,"Jordan Addison",MIN,"WR37","24","71","95","84.3","7.4","-1"
"86",8,"Dalton Kincaid",BUF,"TE11","26","69","116","88.3","13.6","-1"
"87",8,"D'Andre Swift",CHI,"RB25","27","76","99","88.4","5.5","-18"
"88",8,"Davante Adams",LAR,"WR38","33","41","120","91.0","18.3","-10"
"89",8,"Jordan Love",GB,"QB15","27","72","116","92.3","12.1","+43"
"90",8,"Michael Wilson",ARI,"WR39","26","81","113","94.2","9.3","-11"
"",8
"91",8,"Denzel Boston",CLE,"WR40","22","71","125","94.7","18.1","+10"
"92",8,"George Kittle",SF,"TE12","32","73","127","94.7","17.3","+12"
"93",8,"Wan'Dale Robinson",TEN,"WR41","25","85","107","96.9","5.9","-5"
"94",8,"Jayden Higgins",HOU,"WR42","23","79","128","98.0","14.7","-"
"95",8,"Omar Cooper Jr.",NYJ,"WR43","22","76","134","98.4","19.9","0"
"96",8,"Mike Evans",SF,"WR44","33","80","112","98.4","8.0","-3"
"97",8,"Courtland Sutton",DEN,"WR45","30","82","112","99.6","9.2","+12"
"98",8,"Xavier Worthy",KC,"WR46","23","73","115","100.0","11.5","+15"
"99",8,"Michael Pittman Jr.",PIT,"WR47","28","84","118","100.1","10.7","+6"
"100",8,"Josh Downs",IND,"WR48","25","77","120","101.4","10.6","+14"
"101",8,"Quentin Johnston",LAC,"WR49","24","95","119","101.9","7.6","+6"
"102",9,"David Montgomery",HOU,"RB26","29","88","120","104.3","9.5","-32"
"103",9,"Jared Goff",DET,"QB16","31","84","163","105.5","19.1","+39"
"104",9,"Jaylen Warren",PIT,"RB27","27","88","132","106.4","14.3","-18"
"105",9,"Eli Stowers",PHI,"TE13","23","69","206","106.8","40.3","+18"
"106",9,"Jayden Reed",GB,"WR50","26","99","124","107.8","7.5","+12"
"107",9,"Jakobi Meyers",JAC,"WR51","29","93","128","109.0","10.1","+24"
"108",9,"Chris Godwin Jr.",TB,"WR52","30","93","131","111.6","10.7","+21"
"109",9,"Jake Ferguson",DAL,"TE14","27","81","130","111.9","13.7","-13"
"110",9,"Matthew Golden",GB,"WR53","23","95","125","112.4","8.6","-10"
"111",9,"Brenton Strange",JAC,"TE15","25","89","129","113.6","12.0","+5"
"112",9,"Kyle Monangai",CHI,"RB28","24","98","136","115.6","14.4","-29"
"113",9,"Fernando Mendoza",LV,"QB17","22","91","154","116.9","20.0","-2"
"114",9,"Blake Corum",LAR,"RB29","25","98","136","117.3","14.8","-17"
"115",9,"Baker Mayfield",TB,"QB18","31","91","162","118.3","16.5","+12"
"116",9,"Oronde Gadsden II",LAC,"TE16","23","79","184","119.7","25.4","-29"
"117",9,"Romeo Doubs",NE,"WR54","26","95","170","119.9","19.9","+8"
"118",9,"RJ Harvey",DEN,"RB30","25","97","146","119.9","15.2","-46"
"119",9,"Khalil Shakir",BUF,"WR55","26","105","135","122.4","9.4","+15"
"120",9,"Dallas Goedert",PHI,"TE17","31","81","155","123.5","20.2","+27"
"121",9,"Mark Andrews",BAL,"TE18","30","94","154","124.5","15.0","+20"
"122",9,"Jalen Coker",CAR,"WR56","24","119","131","124.7","4.0","+6"
"123",9,"Ricky Pearsall",SF,"WR57","25","99","175","126.7","27.3","-"
"124",9,"Cam Ward",TEN,"QB19","24","110","161","127.0","15.0","+33"
"125",9,"C.J. Stroud",HOU,"QB20","24","110","147","127.8","14.1","+24"
"126",9,"Tyler Shough",NO,"QB21","26","110","175","128.6","15.7","+65"
"127",9,"Zach Charbonnet",SEA,"RB31","25","86","181","128.7","24.2","-10"
"128",9,"Jonathon Brooks",CAR,"RB32","23","90","178","131.3","26.4","-25"
"129",9,"Rhamondre Stevenson",NE,"RB33","28","108","149","132.1","10.7","-27"
"130",10,"Chuba Hubbard",CAR,"RB34","27","104","163","134.4","20.3","-39"
"131",10,"Terrance Ferguson",LAR,"TE19","23","109","166","134.5","18.8","+44"
"132",10,"Rico Dowdle",PIT,"RB35","28","104","156","134.6","12.3","-34"
"133",10,"Kyler Murray",MIN,"QB22","29","109","178","134.9","15.7","+65"
"134",10,"Jonah Coleman",DEN,"RB36","23","100","204","135.4","25.2","-15"
"135",10,"Malik Willis",MIA,"QB23","27","126","147","135.6","8.4","+96"
"136",10,"De'Zhaun Stribling",SF,"WR58","23","79","259","138.6","45.7","+3"
"137",10,"Antonio Williams",WAS,"WR59","22","107","196","138.8","24.2","+26"
