"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"68","Devin Neal (NO)","57","206","3.6","21","1","2","19","17","104","6.1","0","0","9","43.0","4.8","3.9%"
"69","Malik Davis (DAL)","52","250","4.8","43","3","2","5","2","16","8.0","0","0","10","38.6","3.9","3.2%"
"70","Brashard Smith (KC)","44","151","3.4","14","0","0","35","25","172","6.9","1","0","17","38.3","2.3","2.9%"
"71","Audric Estime (NO)","46","198","4.3","32","1","1","13","12","103","8.6","0","0","7","36.1","5.2","1.9%"
"72","Kyle Juszczyk (SF)","2","-3","-1.5","0","0","0","28","24","213","8.9","2","0","17","33.0","1.9","0.9%"
"73","Kendre Miller (NO)","47","193","4.1","18","0","1","5","5","30","6.0","0","0","7","28.3","4.0","3.5%"
"74","Jaleel McLaughlin (DEN)","37","187","5.1","16","0","1","6","4","27","6.8","0","0","8","27.4","3.4","0.6%"
"75","James Conner (ARI)","32","95","3.0","12","0","1","9","8","38","4.8","1","0","4","25.3","6.3","17.6%"
"76","Zavier Scott (MIN)","32","114","3.6","11","0","0","16","14","98","7.0","1","1","11","25.2","2.3","1.1%"
"77","Hunter Luepke (DAL)","16","71","4.4","9","0","0","15","13","109","8.4","1","0","17","24.0","1.4","0.6%"
"78","Jaret Patterson (LAC)","41","159","3.9","22","1","1","4","3","8","2.7","0","0","6","22.7","3.8","1.1%"
"78","Jawhar Jordan (HOU)","43","193","4.5","50","1","0","7","7","34","4.9","0","0","4","22.7","5.7","0.6%"
"80","Trey Benson (ARI)","29","160","5.5","52","2","0","16","13","64","4.9","0","0","5","22.4","4.5","3.6%"
"81","Antonio Gibson (NE)","25","106","4.2","21","1","1","3","2","6","3.0","0","1","5","21.2","4.2","1.3%"
"82","Ameer Abdullah (IND)","14","60","4.3","14","0","1","17","16","99","6.2","0","1","13","19.9","1.5","0.6%"
"83","Chris Brooks (GB)","27","106","3.9","12","0","0","17","13","91","7.0","0","0","17","19.7","1.2","1.8%"
"84","Jaydon Blue (DAL)","38","129","3.4","27","1","1","1","1","5","5.0","0","0","5","19.4","3.9","8.1%"
"85","George Holani (SEA)","22","73","3.3","9","0","1","2","2","15","7.5","0","1","10","18.8","1.9","5.1%"
"86","Miles Sanders (DAL)","20","117","5.9","49","1","1","8","8","30","3.8","0","1","4","18.7","4.7","1.0%"
"87","Jerome Ford (CLE)","24","73","3.0","12","0","0","32","26","103","4.0","0","0","13","17.6","1.4","1.9%"
"88","Raheem Mostert (LV)","22","104","4.7","37","1","0","12","12","70","5.8","0","0","12","17.4","1.5","1.1%"
"89","Raheim Sanders (CLE)","27","92","3.4","14","0","1","4","3","21","7.0","0","0","5","17.3","3.5","0.6%"
"90","Tyler Badie (DEN)","8","23","2.9","7","0","0","31","19","141","7.4","0","0","16","16.4","1.0","1.0%"
"91","Rasheen Ali (BAL)","7","24","3.4","9","0","0","11","9","68","7.6","1","0","15","15.2","1.0","0.6%"
