"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"63","Aidan O'Connell (LV)","10","22","45.5","102","4.6","0","0","1","1","7","0","0","1","4.8","4.8","1.0%"
"64","Shane Buechele (KC)","7","14","50.0","88","6.3","0","0","5","1","4","0","0","1","3.9","3.9","0.0%"
"65","Clayton Tune (GB)","7","15","46.7","42","2.8","0","1","5","5","23","0","0","2","3.0","1.5","1.0%"
"66","Teddy Bridgewater (TB)","8","15","53.3","62","4.1","0","0","2","3","4","0","0","4","2.9","0.7","1.1%"
"67","Tyson Bagent (CHI)","3","4","75.0","47","11.8","0","0","0","2","7","0","0","3","2.6","0.9","0.7%"
"68","Joshua Dobbs (NE)","7","10","70.0","65","6.5","0","0","0","10","-5","0","0","4","2.1","0.5","0.6%"
"69","Brandon Allen (TEN)","17","30","56.7","72","2.4","0","1","1","0","0","0","0","1","1.9","1.9","0.0%"
"70","Zach Wilson (MIA)","6","11","54.5","32","2.9","0","0","0","3","1","0","0","4","1.4","0.4","0.6%"
"71","Anthony Richardson Sr. (IND)","1","2","50.0","9","4.5","0","0","0","4","-1","0","0","2","1.2","0.6","8.5%"
"72","Gardner Minshew II (KC)","6","13","46.2","37","2.8","0","1","0","6","2","0","0","4","0.7","0.2","0.6%"
"73","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","2","4","0","0","12","0.4","0.0","0.0%"
"74","Drew Lock (SEA)","2","3","66.7","15","5.0","0","0","0","6","-5","0","0","5","0.1","0.0","0.9%"
"74","Malik Cunningham (DET)","0","0","0","0","0","0","0","0","1","1","0","0","1","0.1","0.1","1.1%"
"76","Logan Woodside (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"76","Will Grier (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Brett Rypien (CIN)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"76","Stetson Bennett IV (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"80","Nick Mullens (JAC)","3","3","100.0","19","6.3","0","0","0","12","-8","0","0","5","-0.1","0.0","0.6%"
"80","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.6%"
"80","Adrian Martinez (SF)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
"80","Kedon Slovis (ARI)","1","2","50.0","-2","-1.0","0","0","0","0","0","0","0","2","-0.1","-0.1","0.0%"
"84","Kyle Allen (DET)","0","2","0.0","0","0.0","0","0","0","3","-3","0","0","4","-0.3","-0.1","0.8%"
"85","Jimmy Garoppolo (LAR)","0","0","0","0","0","0","0","0","9","-10","0","0","5","-1.0","-0.2","0.8%"
"86","Jalen Milroe (SEA)","0","0","0","0","0","0","0","0","3","4","0","1","4","-1.6","-0.4","1.0%"
""
""
