Round/Pick,Team,Amount,Player,"Player Team","Player Position"
12.12,"Patient Zeros Aids Epidemic",0,,,
13.1,"Patient Zeros Aids Epidemic",0,,,
13.2,"Woke Mob Warriors",0,,,
13.3,"Stopped The Steal!",0,,,
13.4,Tom,0,,,
13.5,"Lawson Country Lets Ride",0,,,
13.6,"Pollock Debacle",0,,,
13.7,"Ja'Marr & Jahmyr",0,,,
13.8,"Trash Pandas",0,,,
13.9,"Svannah Alley Cats",0,,,
13.10,"Sittin Purdy",0,,,
13.11,"The Comeback Story",0,,,
13.12,"Time Stamps",0,,,
14.1,"Time Stamps",0,,,
14.2,"The Comeback Story",0,,,
14.3,"Sittin Purdy",0,,,
14.4,"Svannah Alley Cats",0,,,
14.5,"Trash Pandas",0,,,
14.6,"Ja'Marr & Jahmyr",0,,,
14.7,"Pollock Debacle",0,,,
14.8,"Lawson Country Lets Ride",0,,,
14.9,Tom,0,,,
14.10,"Stopped The Steal!",0,,,
14.11,"Woke Mob Warriors",0,,,
14.12,"Patient Zeros Aids Epidemic",0,,,
15.1,"Patient Zeros Aids Epidemic",0,,,
15.2,"Woke Mob Warriors",0,,,
15.3,"Stopped The Steal!",0,,,
15.4,Tom,0,,,
15.5,"Lawson Country Lets Ride",0,,,
15.6,"Pollock Debacle",0,,,
15.7,"Ja'Marr & Jahmyr",0,,,
15.8,"Trash Pandas",0,,,
15.9,"Svannah Alley Cats",0,,,
15.10,"Sittin Purdy",0,,,
15.11,"The Comeback Story",0,,,
15.12,"Time Stamps",0,,,
16.1,"Time Stamps",0,,,
16.2,"The Comeback Story",0,,,
16.3,"Sittin Purdy",0,,,
16.4,"Svannah Alley Cats",0,,,
16.5,"Trash Pandas",0,,,
16.6,"Ja'Marr & Jahmyr",0,,,
16.7,"Pollock Debacle",0,,,
16.8,"Lawson Country Lets Ride",0,,,
16.9,Tom,0,,,
16.10,"Stopped The Steal!",0,,,
16.11,"Woke Mob Warriors",0,,,
16.12,"Patient Zeros Aids Epidemic",0,,,
17.1,"Patient Zeros Aids Epidemic",0,,,
17.2,"Woke Mob Warriors",0,,,
17.3,"Stopped The Steal!",0,,,
17.4,Tom,0,,,
17.5,"Lawson Country Lets Ride",0,,,
17.6,"Pollock Debacle",0,,,
17.7,"Ja'Marr & Jahmyr",0,,,
17.8,"Trash Pandas",0,,,
17.9,"Svannah Alley Cats",0,,,
17.10,"Sittin Purdy",0,,,
17.11,"The Comeback Story",0,,,
17.12,"Time Stamps",0,,,
