"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"216","Roman Wilson (PIT)","21","4.2","12","166","13.8","3","2","0","0","0","1","14","0.0","0.0","0.7%"
"256","Derius Davis (LAC)","3","0.6","2","10","5.0","0","0","2","5","0","1","11","-0.5","0.0","1.0%"
"256","Ke'Shawn Williams (CIN)","1","0.2","1","5","5.0","0","0","2","10","0","1","11","-0.5","0.0","0.0%"
"258","Jamal Agnew (ATL)","0","0","0","0","0","0","0","0","0","0","1","11","-2.0","-0.2","0.0%"
"258","Mecole Hardman Jr. (BUF)","1","0.2","0","0","0","0","0","0","0","0","1","2","-2.0","-1.0","0.6%"
"258","LaJohntay Wester (BAL)","0","0","0","0","0","0","0","0","0","0","1","16","-2.0","-0.1","0.7%"
"261","Xavier Gipson (PHI)","2","0.4","2","6","3.0","0","0","0","0","0","2","6","-3.4","-0.6","1.1%"
"262","Myles Price (MIN)","0","0","0","0","0","0","0","0","0","0","3","16","-6.0","-0.4","0.6%"
""
""
