"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"111","David Sills V (ATL)","36","7.1","18","191","10.6","3","2","0","0","0","0","17","31.1","1.8","0.0%"
"112","Tyrell Shavers (BUF)","23","4.6","15","245","16.3","6","1","0","0","0","0","17","30.5","1.8","0.6%"
"113","Calvin Ridley (TEN)","36","6.8","17","303","17.8","7","0","0","0","0","0","7","30.3","4.3","12.9%"
"113","Joshua Palmer (BUF)","37","7.5","22","303","13.8","4","0","0","0","0","0","12","30.3","2.5","0.7%"
"113","Xavier Smith (LAR)","24","4","18","303","16.8","5","0","0","0","0","0","16","30.3","1.9","0.6%"
"116","Christian Kirk (HOU)","52","9.2","28","239","8.5","3","1","0","0","0","0","13","29.9","2.3","6.6%"
"117","Dyami Brown (JAC)","37","6.7","20","227","11.4","2","1","6","30","0","1","15","29.7","2.0","0.7%"
"118","Jayden Reed (GB)","22","4.9","19","207","10.9","4","1","3","28","0","0","7","29.5","4.2","78.1%"
"119","Jalen Tolbert (DAL)","34","5.7","18","203","11.3","2","1","0","0","0","0","13","28.3","2.2","3.9%"
"120","Brandin Cooks (BUF)","36","6.8","24","279","11.6","4","0","0","0","0","0","15","27.9","1.9","1.1%"
"121","Chris Moore (WAS)","23","5.4","11","207","18.8","3","1","1","9","0","0","14","27.6","2.0","0.0%"
"122","Tyler Johnson (NYJ)","18","3.7","12","197","16.4","5","1","0","0","0","0","12","25.7","2.1","1.1%"
"123","Tutu Atwell (LAR)","15","2.6","6","192","32.0","3","1","0","0","0","0","10","25.2","2.5","0.7%"
"124","Gunner Olszewski (NYG)","13","2.6","10","145","14.5","3","1","0","0","0","1","16","23.8","1.5","1.1%"
"125","Mitch Tinsley (CIN)","24","4","8","116","14.5","1","2","0","0","0","0","17","23.6","1.4","0.6%"
"126","Jack Bech (LV)","29","5.8","20","224","11.2","2","0","0","0","0","0","16","22.4","1.4","3.6%"
"127","Lil'Jordan Humphrey (DEN)","25","4.6","13","156","12.0","2","1","0","0","0","0","10","21.6","2.2","1.1%"
"128","Hunter Renfrow (CAR)","26","5.4","15","89","5.9","0","2","0","0","0","0","6","20.9","3.5","1.5%"
"129","Jahdae Walker (CHI)","10","2","6","87","14.5","1","2","0","0","0","0","7","20.7","3.0","0.9%"
"130","Adam Thielen (PIT)","35","7","19","186","9.8","1","0","0","0","0","0","16","20.6","1.3","3.5%"
"130","Malachi Corley (CLE)","14","2.8","11","79","7.2","0","0","13","127","0","0","13","20.6","1.6","0.6%"
"132","Bo Melton (GB)","13","2.8","4","107","26.8","2","1","5","35","0","0","16","20.2","1.3","0.6%"
"133","Kevin Austin Jr. (NO)","23","4.1","13","140","10.8","1","1","0","0","0","0","8","20.0","2.5","1.0%"
"134","Theo Wease Jr. (MIA)","10","2.2","6","139","23.2","2","1","0","0","0","0","3","19.9","6.6","1.0%"
"135","Elijah Moore (BUF)","17","3.4","9","112","12.4","3","0","6","24","1","0","9","19.6","2.2","0.6%"
"136","Treylon Burks (WAS)","22","5.1","10","130","13.0","2","1","0","0","0","0","8","19.0","2.4","1.7%"
"137","Gabe Davis (BUF)","18","3.7","12","129","10.8","2","1","0","0","0","0","6","18.9","3.2","1.0%"
"138","Zay Jones (ARI)","18","3","12","183","15.3","4","0","0","0","0","0","8","18.3","2.3","1.0%"
"138","Jordan Whittington (LAR)","25","4.4","18","171","9.5","2","0","3","12","0","0","17","18.3","1.1","0.6%"
"140","Marquez Valdes-Scantling (PIT)","29","5.4","14","120","8.6","0","1","0","0","0","0","10","18.0","1.8","0.7%"
"141","Jalen McMillan (TB)","15","2.9","12","178","14.8","2","0","1","1","0","0","4","17.9","4.5","22.1%"
"142","Jimmy Horn Jr. (CAR)","15","3","11","108","9.8","1","0","8","69","0","0","13","17.7","1.4","0.8%"
"143","Isaiah Hodgins (NYG)","19","3.8","10","115","11.5","2","1","0","0","0","0","7","17.5","2.5","0.0%"
"144","Brycen Tremayne (CAR)","18","3.6","14","160","11.4","3","0","0","0","0","0","16","16.0","1.0","0.0%"
"145","Savion Williams (GB)","10","2.1","10","78","7.8","1","1","11","37","0","1","12","15.5","1.3","0.8%"
"146","Konata Mumpfield (LAR)","23","4","10","92","9.2","0","1","0","0","0","0","17","15.2","0.9","0.6%"
"147","Ashton Dulin (IND)","10","1.9","5","106","21.2","3","0","3","44","0","0","12","15.0","1.3","0.7%"
"147","Cody White (SEA)","4","0.8","3","90","30.0","2","1","0","0","0","0","9","15.0","1.7","0.0%"
"149","Curtis Samuel (BUF)","9","1.8","7","81","11.6","2","1","0","0","0","0","6","14.1","2.4","2.0%"
"150","Kameron Johnson (TB)","7","1.3","4","64","16.0","1","1","2","13","0","0","17","13.7","0.8","0.0%"
"151","Dont'e Thornton Jr. (LV)","30","6","10","135","13.5","3","0","0","0","0","0","15","13.5","0.9","0.7%"
"151","Efton Chism III (NE)","3","0.6","3","75","25.0","2","1","0","0","0","0","8","13.5","1.7","0.6%"
"153","Allen Lazard (NYJ)","18","3.6","10","70","7.0","0","1","0","0","0","0","10","13.0","1.3","1.0%"
"154","Ben Skowronek (PIT)","6","1.2","4","69","17.3","2","1","0","0","0","0","16","12.9","0.8","0.1%"
"155","Josh Reynolds (NYJ)","21","4.3","11","101","9.2","0","0","0","0","0","0","5","12.1","2.4","2.1%"
"156","Shedrick Jackson (LV)","5","1","4","56","14.0","1","1","1","3","0","0","5","11.9","2.4","1.0%"
"157","KeAndre Lambert-Smith (LAC)","12","2.3","5","51","10.2","0","1","0","0","0","0","10","11.1","1.1","0.7%"
"158","Dante Pettis (NO)","11","2","9","127","14.1","3","0","0","0","0","1","8","10.7","1.3","1.0%"
"158","Jamari Thrash (CLE)","15","3","10","107","10.7","3","0","0","0","0","0","9","10.7","1.2","1.1%"
"160","Tylan Wallace (BAL)","8","1.8","4","45","11.3","0","1","0","0","0","0","14","10.5","0.8","1.0%"
"161","Skyy Moore (SF)","7","1.4","5","87","17.4","2","0","2","11","0","0","17","9.8","0.6","0.8%"
"162","Ryan Miller (TB)","4","0.8","2","34","17.0","1","1","0","0","0","0","13","9.4","0.7","1.0%"
"162","Casey Washington (ATL)","14","2.8","6","94","15.7","1","0","0","0","0","0","7","9.4","1.3","0.0%"
"162","Mason Tipton (NO)","17","3.1","11","76","6.9","0","0","4","18","0","0","13","9.4","0.7","1.3%"
"165","Darius Cooper (PHI)","11","2.3","9","92","10.2","0","0","0","0","0","0","13","9.2","0.7","0.6%"
"166","Michael Bandy (DEN)","4","0.7","4","50","12.5","1","1","0","0","0","1","4","9.0","2.3","1.0%"
"167","Nick Westbrook-Ikhine (MIA)","20","4.4","11","89","8.1","0","0","0","0","0","0","15","8.9","0.6","0.6%"
"168","Malik Heath (GB)","7","1.5","6","86","14.3","1","0","0","0","0","0","11","8.6","0.8","1.0%"
"169","Noah Brown (WAS)","10","2.3","5","83","16.6","1","0","0","0","0","0","4","8.3","2.1","1.3%"
"169","Ronnie Bell (NO)","4","0.7","2","23","11.5","0","1","0","0","0","0","2","8.3","4.2","0.0%"
"171","Ray-Ray McCloud III (NYG)","15","3","7","69","9.9","1","0","0","0","0","0","6","6.9","1.2","0.6%"
"172","Xavier Weaver (ARI)","13","2.2","7","67","9.6","1","0","0","0","0","0","9","6.7","0.7","0.0%"
"173","James Proche II (TEN)","12","2.3","6","65","10.8","1","0","0","0","0","0","9","6.5","0.7","0.0%"
"173","Arian Smith (NYJ)","16","3.2","7","52","7.4","1","0","4","13","0","0","16","6.5","0.4","0.7%"
"175","Scotty Miller (PIT)","14","2.7","9","62","6.9","0","0","0","0","0","0","13","6.2","0.5","0.1%"
"176","Charlie Jones (CIN)","1","0.2","0","0","0","0","0","0","0","0","0","14","6.0","0.4","0.7%"
"177","Gage Larvadain (CLE)","14","2.8","7","71","10.1","0","0","1","3","0","1","13","5.4","0.4","0.0%"
"178","Robbie Chosen (WAS)","9","2","5","53","10.6","0","0","0","0","0","0","3","5.3","1.8","0.0%"
"179","Mason Kinsey (TEN)","4","0.8","2","48","24.0","1","0","0","0","0","0","10","4.8","0.5","0.0%"
"179","Dareke Young (SEA)","3","0.6","2","48","24.0","1","0","0","0","0","0","9","4.8","0.5","1.0%"
"181","Austin Trammell (JAC)","10","1.8","3","46","15.3","0","0","0","0","0","0","6","4.6","0.8","0.0%"
"182","Cedrick Wilson Jr. (MIA)","9","1.8","5","44","8.8","0","0","0","0","0","0","10","4.4","0.4","1.1%"
"183","Dee Eskridge (MIA)","7","1.4","4","62","15.5","1","0","0","0","0","1","13","4.2","0.3","0.0%"
"183","Dylan Drummond (ATL)","11","2.2","7","42","6.0","0","0","0","0","0","0","9","4.2","0.5","0.0%"
"185","Xavier Restrepo (TEN)","7","1.3","3","41","13.7","0","0","0","0","0","0","2","4.1","2.1","1.1%"
"186","Braxton Berrios (HOU)","8","1.4","6","37","6.2","0","0","0","0","0","0","4","3.7","0.9","0.6%"
"187","Tom Kennedy (DET)","4","0.7","4","36","9.0","1","0","0","0","0","0","6","3.6","0.6","0.1%"
"188","Jalin Hyatt (NYG)","14","2.8","5","35","7.0","0","0","0","0","0","0","8","3.5","0.4","2.7%"
"189","Deven Thompkins (ATL)","3","0.6","3","27","9.0","0","0","1","5","0","0","7","3.2","0.5","1.0%"
"189","Velus Jones Jr. (SEA)","0","0","0","0","0","0","0","4","32","0","0","6","3.2","0.5","1.6%"
"189","Nikko Remigio (KC)","1","0.2","1","21","21.0","1","0","1","11","0","0","14","3.2","0.2","0.6%"
"192","KhaDarel Hodge (ATL)","10","1.9","3","31","10.3","0","0","0","0","0","0","12","3.1","0.3","1.2%"
"192","Jalen Brooks (ARI)","6","1","3","51","17.0","1","0","0","0","0","1","6","3.1","0.5","1.0%"
"194","Justin Watson (HOU)","4","0.8","3","30","10.0","0","0","0","0","0","0","3","3.0","1.0","1.0%"
"195","Devin Duvernay (CHI)","5","1","2","26","13.0","1","0","0","0","0","0","17","2.6","0.2","1.0%"
"195","Jordan Watkins (SF)","3","0.6","2","26","13.0","0","0","0","0","0","0","5","2.6","0.5","1.0%"
"197","Beaux Collins (NYG)","6","1.2","2","25","12.5","0","0","0","0","0","0","9","2.5","0.3","0.0%"
"197","Jonathan Mingo (DAL)","5","1","1","25","25.0","1","0","0","0","0","0","6","2.5","0.4","0.6%"
"197","Tai Felton (MIN)","3","0.6","3","25","8.3","0","0","0","0","0","0","14","2.5","0.2","0.6%"
"200","Tay Martin (WAS)","2","0.4","2","23","11.5","0","0","0","0","0","0","3","2.3","0.8","1.0%"
"201","Trent Sherfield Sr. (ARI)","5","0.9","3","21","7.0","0","0","0","0","0","0","12","2.1","0.2","0.0%"
"202","Britain Covey (PHI)","4","0.9","2","20","10.0","0","0","0","0","0","0","6","2.0","0.3","1.0%"
"202","Jake Bobo (SEA)","2","0.4","2","20","10.0","0","0","0","0","0","0","11","2.0","0.2","0.6%"
"202","Jared Wayne (HOU)","2","0.4","2","20","10.0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"205","David Moore (CAR)","1","0.2","1","5","5.0","0","0","1","12","0","0","4","1.7","0.4","0.8%"
"205","Tahj Washington (MIA)","5","1.1","3","37","12.3","0","0","0","0","0","1","6","1.7","0.3","1.0%"
"207","Tim Jones (JAC)","1","0.2","1","15","15.0","0","0","0","0","0","0","4","1.5","0.4","0.0%"
"207","Jakobie Keeney-James (GB)","2","0.4","2","15","7.5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"209","Alex Bachman (LV)","3","0.6","2","12","6.0","0","0","0","0","0","0","13","1.2","0.1","0.0%"
"210","Quentin Skinner (NYJ)","1","0.2","1","10","10.0","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"211","Andre Baccellia (ARI)","4","0.7","2","8","4.0","0","0","0","0","0","0","5","0.8","0.2","0.0%"
"211","Bryce Oliver (TEN)","1","0.2","1","8","8.0","0","0","0","0","0","0","3","0.8","0.3","0.0%"
"213","Anthony Gould (IND)","2","0.4","2","6","3.0","0","0","0","0","0","0","11","0.6","0.1","1.0%"
"214","Jalen Royals (KC)","3","0.5","2","4","2.0","0","0","0","0","0","0","7","0.4","0.1","0.6%"
"215","Samori Toure (NO)","3","0.5","1","3","3.0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"216","DeAndre Carter (CLE)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"216","Laquon Treadwell (IND)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"216","River Cracraft (WAS)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"216","Russell Gage Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
